timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/06 09:57:40.972, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:41.973, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P0, 3, 3, 54, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:42.974, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P0, 3, 3, 55, 2 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:43.975, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P5, 3, 2, 53, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:44.977, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 53, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:45.978, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 52, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:46.980, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 52, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:47.981, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 52, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:48.983, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 52, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:49.984, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:50.986, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:51.987, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:52.988, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:53.990, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:54.991, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 51, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:55.993, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 50, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:56.994, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 50, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
2023/03/06 09:57:57.995, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P8, 3, 1, 50, 0 %, 0 %, 11264 MiB, 11010 MiB, 1 MiB
